GEMS Contest ID,Registered Voters for District,Total Votes,Election Year,Election Month,Election Type
309,25333,5842,2021,November,general election
113,2212,669,2021,November,general election
20,160117,58245,2021,November,general election
303,32724,9019,2021,November,general election
142,39169,15214,2021,November,general election
133,33704,11906,2021,November,general election
39,82220,32057,2021,November,general election
156,8494,3294,2021,November,general election
210,76177,16347,2021,November,general election
307,76,34,2021,November,general election
304,32724,9117,2021,November,general election
75,8853,2164,2021,November,general election
266,1084,276,2021,November,general election
151,39890,11113,2021,November,general election
235,26146,10725,2021,November,general election
212,15669,5889,2021,November,general election
13,1400321,563716,2021,November,general election
213,15669,5879,2021,November,general election
293,139,37,2021,November,general election
130,3691,872,2021,November,general election
175,353,141,2021,November,general election
93,71229,20007,2021,November,general election
360,5560,1501,2021,November,general election
245,5592,1393,2021,November,general election
187,80530,22729,2021,November,general election
99,57797,15172,2021,November,general election
48,1084,399,2021,November,general election
149,489996,258798,2021,November,general election
312,40625,14112,2021,November,general election
124,5658,1467,2021,November,general election
359,5560,1484,2021,November,general election
328,189449,39730,2021,November,general election
52,29926,12100,2021,November,general election
152,39890,11126,2021,November,general election
223,378,135,2021,November,general election
92,15782,5929,2021,November,general election
209,58609,22852,2021,November,general election
15,1400321,572911,2021,November,general election
207,58609,22657,2021,November,general election
82,52891,12106,2021,November,general election
161,11069,3139,2021,November,general election
186,80530,23008,2021,November,general election
16,165233,70479,2021,November,general election
231,9366,3684,2021,November,general election
43,1747,296,2021,November,general election
199,74177,25878,2021,November,general election
157,8494,3349,2021,November,general election
326,9366,2834,2021,November,general election
193,77701,25440,2021,November,general election
164,8595,3119,2021,November,general election
88,23796,6169,2021,November,general election
346,11069,2278,2021,November,general election
145,15054,4507,2021,November,general election
154,8494,3558,2021,November,general election
107,10364,5394,2021,November,general election
72,8853,2439,2021,November,general election
12,5213,2761,2021,November,general election
118,8257,3360,2021,November,general election
327,189449,50831,2021,November,general election
276,76,30,2021,November,general election
81,52891,15706,2021,November,general election
176,353,138,2021,November,general election
251,15470,5690,2021,November,general election
339,19468,4965,2021,November,general election
60,13664,2651,2021,November,general election
18,133628,40034,2021,November,general election
129,3691,724,2021,November,general election
279,26392,10243,2021,November,general election
167,8595,3153,2021,November,general election
191,3407,765,2021,November,general election
131,33704,11992,2021,November,general election
301,17784,6320,2021,November,general election
109,18034,5459,2021,November,general election
189,48945,9086,2021,November,general election
352,6642,1532,2021,November,general election
345,11069,2300,2021,November,general election
23,1400321,547741,2021,November,general election
19,136292,38332,2021,November,general election
55,29926,11888,2021,November,general election
205,18709,8936,2021,November,general election
47,1084,308,2021,November,general election
137,60262,12530,2021,November,general election
202,103872,28535,2021,November,general election
121,5213,2027,2021,November,general election
25,18041,7043,2021,November,general election
8,1400321,580471,2021,November,general election
302,9294,2862,2021,November,general election
102,57797,15413,2021,November,general election
324,81930,23906,2021,November,general election
206,18709,8958,2021,November,general election
236,35139,10211,2021,November,general election
110,18034,5472,2021,November,general election
253,7937,1870,2021,November,general election
30,4165,1094,2021,November,general election
194,77701,24806,2021,November,general election
160,11069,3034,2021,November,general election
252,15470,4509,2021,November,general election
77,52891,15719,2021,November,general election
53,29926,11988,2021,November,general election
29,4165,1167,2021,November,general election
347,9366,2939,2021,November,general election
103,57797,14660,2021,November,general election
76,8853,2154,2021,November,general election
33,4165,1069,2021,November,general election
10,8494,3545,2021,November,general election
331,194272,67294,2021,November,general election
177,119,48,2021,November,general election
86,23796,6317,2021,November,general election
198,74177,25536,2021,November,general election
91,15782,6011,2021,November,general election
147,489996,257589,2021,November,general election
28,18041,6999,2021,November,general election
361,5560,1458,2021,November,general election
211,76177,16206,2021,November,general election
332,31569,8288,2021,November,general election
61,13664,2610,2021,November,general election
17,159551,63440,2021,November,general election
2,10508,3066,2021,November,general election
168,268,121,2021,November,general election
46,1084,405,2021,November,general election
57,2188,885,2021,November,general election
5,5560,2278,2021,November,general election
225,29917,13768,2021,November,general election
354,6642,2023,2021,November,general election
196,20803,4972,2021,November,general election
59,13664,2660,2021,November,general election
69,5145,1488,2021,November,general election
208,58609,22883,2021,November,general election
36,39509,10120,2021,November,general election
6,77701,28673,2021,November,general election
155,8494,2591,2021,November,general election
299,1971,798,2021,November,general election
238,14565,3661,2021,November,general election
62,19468,5483,2021,November,general election
67,5145,1961,2021,November,general election
171,268,120,2021,November,general election
128,3691,889,2021,November,general election
227,10189,2066,2021,November,general election
148,489996,251831,2021,November,general election
146,489996,265203,2021,November,general election
87,23796,8157,2021,November,general election
271,39890,10762,2021,November,general election
184,80243,30219,2021,November,general election
114,2212,898,2021,November,general election
343,13399,4609,2021,November,general election
200,103872,21724,2021,November,general election
78,52891,15650,2021,November,general election
278,9366,3482,2021,November,general election
203,121935,42602,2021,November,general election
230,9366,2710,2021,November,general election
163,8595,3146,2021,November,general election
54,29926,11907,2021,November,general election
351,6642,1566,2021,November,general election
32,4165,1560,2021,November,general election
319,76462,21336,2021,November,general election
197,20803,7226,2021,November,general election
179,119,42,2021,November,general election
340,19468,4946,2021,November,general election
7,65854,18794,2021,November,general election
101,57797,19799,2021,November,general election
294,2675,744,2021,November,general election
63,19468,6832,2021,November,general election
138,60262,12488,2021,November,general election
35,39509,8575,2021,November,general election
185,80243,30369,2021,November,general election
234,26146,9755,2021,November,general election
269,11365,2369,2021,November,general election
84,23796,6862,2021,November,general election
286,42930,9983,2021,November,general election
97,71229,14600,2021,November,general election
80,52891,15746,2021,November,general election
317,843,198,2021,November,general election
22,1400321,532017,2021,November,general election
74,8853,2119,2021,November,general election
174,353,140,2021,November,general election
50,1468,452,2021,November,general election
120,8257,3341,2021,November,general election
195,20803,5015,2021,November,general election
229,10189,2064,2021,November,general election
143,15054,4484,2021,November,general election
215,490374,239109,2021,November,general election
292,139,36,2021,November,general election
353,6642,1542,2021,November,general election
280,26392,10069,2021,November,general election
170,268,120,2021,November,general election
162,11069,3114,2021,November,general election
27,18041,6995,2021,November,general election
296,2478,868,2021,November,general election
270,39890,10922,2021,November,general election
21,1400321,373476,2021,November,general election
9,1400321,581656,2021,November,general election
135,60262,16669,2021,November,general election
261,18098,3242,2021,November,general election
295,21295,6144,2021,November,general election
254,378,120,2021,November,general election
273,89467,20234,2021,November,general election
264,13928,3307,2021,November,general election
322,55138,18297,2021,November,general election
123,5213,1929,2021,November,general election
341,4475,1315,2021,November,general election
68,5145,1486,2021,November,general election
173,353,141,2021,November,general election
105,10364,5383,2021,November,general election
315,6,1,2021,November,general election
330,194272,51396,2021,November,general election
115,18709,9536,2021,November,general election
291,9287,1682,2021,November,general election
144,15054,4543,2021,November,general election
182,914,428,2021,November,general election
153,39890,11028,2021,November,general election
172,268,119,2021,November,general election
64,19468,6835,2021,November,general election
150,39890,13848,2021,November,general election
334,9366,2606,2021,November,general election
134,60262,16560,2021,November,general election
192,3407,993,2021,November,general election
318,76462,16839,2021,November,general election
219,29110,7821,2021,November,general election
181,914,310,2021,November,general election
310,25333,5848,2021,November,general election
14,1400321,564142,2021,November,general election
165,8595,2375,2021,November,general election
342,4475,1312,2021,November,general election
112,2212,660,2021,November,general election
178,119,47,2021,November,general election
127,3691,673,2021,November,general election
132,33704,12139,2021,November,general election
277,9366,2908,2021,November,general election
255,9718,3615,2021,November,general election
344,13399,3331,2021,November,general election
237,10508,2197,2021,November,general election
267,1084,348,2021,November,general election
58,2188,907,2021,November,general election
275,76,30,2021,November,general election
141,39169,15282,2021,November,general election
89,15782,4732,2021,November,general election
122,5213,2523,2021,November,general election
355,5560,1948,2021,November,general election
358,5560,1474,2021,November,general election
313,40625,11432,2021,November,general election
262,18098,3588,2021,November,general election
320,76462,21190,2021,November,general election
217,50198,18957,2021,November,general election
298,17009,3877,2021,November,general election
125,5658,1449,2021,November,general election
31,4165,1559,2021,November,general election
11,1084,404,2021,November,general election
116,18709,9583,2021,November,general election
258,30029,8887,2021,November,general election
70,5145,1457,2021,November,general election
66,5145,1656,2021,November,general election
40,82220,31699,2021,November,general election
95,71229,19326,2021,November,general election
246,4027,1695,2021,November,general election
94,71229,15067,2021,November,general election
232,16399,3976,2021,November,general election
49,1084,391,2021,November,general election
4,10364,5887,2021,November,general election
260,1676,447,2021,November,general election
333,31569,8463,2021,November,general election
218,50198,14595,2021,November,general election
44,1084,418,2021,November,general election
263,13928,4391,2021,November,general election
45,1084,401,2021,November,general election
139,39169,15383,2021,November,general election
188,48945,12212,2021,November,general election
305,32724,9015,2021,November,general election
111,2212,688,2021,November,general election
166,8595,3164,2021,November,general election
316,21430,4147,2021,November,general election
259,1676,462,2021,November,general election
323,9350,2056,2021,November,general election
51,1468,438,2021,November,general election
268,1084,357,2021,November,general election
325,81930,24203,2021,November,general election
37,39509,10135,2021,November,general election
106,10364,5383,2021,November,general election
65,19468,6967,2021,November,general election
282,39873,9633,2021,November,general election
311,25333,5757,2021,November,general election
314,41748,12312,2021,November,general election
216,490374,230595,2021,November,general election
226,29917,9132,2021,November,general election
214,490374,236685,2021,November,general election
289,3437,892,2021,November,general election
357,5560,1396,2021,November,general election
42,81063,25177,2021,August,primary election
24,23989,7059,2021,August,primary election
22,53449,12725,2021,August,primary election
56,26464,8522,2021,August,primary election
41,81063,25154,2021,August,primary election
60,17932,5314,2021,August,primary election
54,74051,26789,2021,August,primary election
21,19618,6056,2021,August,primary election
46,104643,24135,2021,August,primary election
38,493453,190410,2021,August,primary election
31,60789,14515,2021,August,primary election
51,59364,18735,2021,August,primary election
3,35273,12365,2021,August,primary election
28,18908,7252,2021,August,primary election
40,912,355,2021,August,primary election
19,2236,776,2021,August,primary election
5,89883,20547,2021,August,primary election
18,30046,10026,2021,August,primary election
59,21405,5332,2021,August,primary election
32,60789,14582,2021,August,primary election
30,34097,9809,2021,August,primary election
14,18330,5507,2021,August,primary election
2,1411796,470762,2021,August,primary election
16,30046,10011,2021,August,primary election
13,83166,26662,2021,August,primary election
45,104643,24086,2021,August,primary election
49,59364,18854,2021,August,primary election
8,1411796,465624,2021,August,primary election
9,161057,50702,2021,August,primary election
39,493453,198608,2021,August,primary election
53,82883,30545,2021,August,primary election
55,30200,9447,2021,August,primary election
29,8298,2637,2021,August,primary election
26,16008,5378,2021,August,primary election
36,493453,204764,2021,August,primary election
61,82622,20090,2021,August,primary election
15,30046,10058,2021,August,primary election
63,190797,44033,2021,August,primary election
33,39636,11882,2021,August,primary election
20,19618,5964,2021,August,primary election
6,16529,5638,2021,August,primary election
47,18908,7050,2021,August,primary election
7,72,28,2021,August,primary election
62,190797,44298,2021,August,primary election
10,137444,32870,2021,August,primary election
48,18908,6891,2021,August,primary election
57,26464,8660,2021,August,primary election
25,16008,5502,2021,August,primary election
43,81231,19167,2021,August,primary election
64,196569,57163,2021,August,primary election
27,71603,15151,2021,August,primary election
23,53449,12764,2021,August,primary election
52,15806,5152,2021,August,primary election
4,1097,352,2021,August,primary election
12,39771,8857,2021,August,primary election
58,9501,2730,2021,August,primary election
17,30046,9932,2021,August,primary election
37,493453,196139,2021,August,primary election
34,15066,3558,2021,August,primary election
1,1097,338,2021,August,primary election
11,161437,48128,2021,August,primary election
50,59364,18794,2021,August,primary election
35,15066,3567,2021,August,primary election
3,26491,10152,2021,April,special election
1,40105,13928,2021,April,special election
2,40105,13842,2021,April,special election
28,104194,77765,2020,November,general election
42,4072,3370,2020,November,general election
20,31407,25761,2020,November,general election
50,1420898,1122094,2020,November,general election
62,1420898,1138520,2020,November,general election
54,11385,8034,2020,November,general election
15,382878,217766,2020,November,general election
43,1420898,1133313,2020,November,general election
35,93999,72063,2020,November,general election
44,1420898,1130787,2020,November,general election
71,88967,58977,2020,November,general election
68,1420898,1021507,2020,November,general election
14,382878,216578,2020,November,general election
77,108371,74882,2020,November,general election
73,80210,59493,2020,November,general election
63,510143,435067,2020,November,general election
18,1420898,1005817,2020,November,general election
39,110197,71280,2020,November,general election
58,1420898,1089919,2020,November,general election
4,1420898,1107632,2020,November,general election
2,8178,6800,2020,November,general election
13,382878,218019,2020,November,general election
75,31143,23876,2020,November,general election
53,78561,59090,2020,November,general election
27,121296,95701,2020,November,general election
12,431394,336237,2020,November,general election
72,88967,66658,2020,November,general election
61,1420898,1151489,2020,November,general election
6,59022,48639,2020,November,general election
52,1420898,1116776,2020,November,general election
5,1420898,1165526,2020,November,general election
19,31407,25839,2020,November,general election
48,1420898,1128448,2020,November,general election
25,82713,60770,2020,November,general election
59,1420898,1066351,2020,November,general election
7,1420898,1198049,2020,November,general election
30,103316,65946,2020,November,general election
70,31407,25729,2020,November,general election
83,103316,83471,2020,November,general election
17,1420898,1049056,2020,November,general election
37,87183,69390,2020,November,general election
78,121296,87413,2020,November,general election
33,101578,84054,2020,November,general election
41,1420898,1210507,2020,November,general election
26,108371,75302,2020,November,general election
23,52875,40192,2020,November,general election
47,1420898,1124647,2020,November,general election
79,104194,77508,2020,November,general election
85,108697,91174,2020,November,general election
81,393,321,2020,November,general election
9,1420898,1166337,2020,November,general election
21,88967,56607,2020,November,general election
34,108697,91369,2020,November,general election
51,1420898,1097455,2020,November,general election
64,284235,233875,2020,November,general election
66,1420898,859107,2020,November,general election
10,1420898,1167347,2020,November,general election
40,110197,90751,2020,November,general election
55,498754,415062,2020,November,general election
84,114268,95078,2020,November,general election
67,1420898,852799,2020,November,general election
57,13292,11239,2020,November,general election
31,114268,93292,2020,November,general election
56,13292,11260,2020,November,general election
38,87183,69353,2020,November,general election
82,103316,83284,2020,November,general election
22,31143,23991,2020,November,general election
24,82713,58221,2020,November,general election
65,1420898,826914,2020,November,general election
8,1420898,1149558,2020,November,general election
3,1420898,1107264,2020,November,general election
16,1420898,819384,2020,November,general election
36,93999,71934,2020,November,general election
60,1420898,1154345,2020,November,general election
76,52875,41144,2020,November,general election
80,393,324,2020,November,general election
69,1420898,982814,2020,November,general election
1,1420898,1140016,2020,November,general election
11,195126,165221,2020,November,general election
45,1420898,1132867,2020,November,general election
49,1420898,1102729,2020,November,general election
74,80210,59612,2020,November,general election
29,393,315,2020,November,general election
86,110197,85344,2020,November,general election
46,1420898,1127854,2020,November,general election
32,101578,84433,2020,November,general election
95,104979,50746,2020,August,primary election
62,1360706,744883,2020,August,primary election
225,445,169,2020,August,primary election
153,844,341,2020,August,primary election
64,1360706,732163,2020,August,primary election
82,105902,49714,2020,August,primary election
129,628,190,2020,August,primary election
175,505,220,2020,August,primary election
191,473,123,2020,August,primary election
85,83868,35839,2020,August,primary election
86,75126,34048,2020,August,primary election
147,520,174,2020,August,primary election
132,358,84,2020,August,primary election
214,318,130,2020,August,primary election
148,815,302,2020,August,primary election
67,1360706,719724,2020,August,primary election
74,493988,280406,2020,August,primary election
83,83868,31652,2020,August,primary election
219,770,132,2020,August,primary election
84,83868,37937,2020,August,primary election
156,388,127,2020,August,primary election
120,739,204,2020,August,primary election
110,104909,62776,2020,August,primary election
151,314,131,2020,August,primary election
259,611,123,2020,August,primary election
61,72,43,2020,August,primary election
199,551,190,2020,August,primary election
205,744,255,2020,August,primary election
115,83313,42609,2020,August,primary election
231,439,175,2020,August,primary election
211,668,224,2020,August,primary election
69,13554,7450,2020,August,primary election
216,373,127,2020,August,primary election
277,654,205,2020,August,primary election
251,501,132,2020,August,primary election
119,759,219,2020,August,primary election
126,324,78,2020,August,primary election
208,585,179,2020,August,primary election
261,728,179,2020,August,primary election
235,533,76,2020,August,primary election
102,367,185,2020,August,primary election
158,429,141,2020,August,primary election
265,700,176,2020,August,primary election
134,622,186,2020,August,primary election
81,105902,42022,2020,August,primary election
249,675,165,2020,August,primary election
173,806,316,2020,August,primary election
177,612,187,2020,August,primary election
125,862,173,2020,August,primary election
172,523,227,2020,August,primary election
171,765,290,2020,August,primary election
80,105902,56368,2020,August,primary election
207,503,205,2020,August,primary election
275,909,143,2020,August,primary election
109,97882,53608,2020,August,primary election
113,88642,42046,2020,August,primary election
200,695,257,2020,August,primary election
230,527,211,2020,August,primary election
127,639,167,2020,August,primary election
73,187033,102343,2020,August,primary election
72,1360706,725348,2020,August,primary election
142,516,147,2020,August,primary election
66,1360706,733585,2020,August,primary election
131,742,254,2020,August,primary election
170,379,125,2020,August,primary election
135,499,173,2020,August,primary election
222,236,110,2020,August,primary election
137,714,163,2020,August,primary election
220,563,124,2020,August,primary election
87,75126,34156,2020,August,primary election
271,708,97,2020,August,primary election
245,859,195,2020,August,primary election
258,880,224,2020,August,primary election
247,279,82,2020,August,primary election
276,935,182,2020,August,primary election
111,104909,62726,2020,August,primary election
161,341,105,2020,August,primary election
278,573,162,2020,August,primary election
215,392,126,2020,August,primary election
99,99587,51847,2020,August,primary election
164,400,118,2020,August,primary election
176,343,169,2020,August,primary election
166,379,87,2020,August,primary election
154,734,273,2020,August,primary election
253,831,152,2020,August,primary election
65,1360706,718607,2020,August,primary election
227,410,174,2020,August,primary election
182,552,179,2020,August,primary election
79,29858,16298,2020,August,primary election
273,651,114,2020,August,primary election
287,537,96,2020,August,primary election
274,501,108,2020,August,primary election
285,774,150,2020,August,primary election
133,389,137,2020,August,primary election
198,535,208,2020,August,primary election
192,715,219,2020,August,primary election
144,393,90,2020,August,primary election
228,781,243,2020,August,primary election
284,528,122,2020,August,primary election
240,440,128,2020,August,primary election
93,77812,31885,2020,August,primary election
70,85218,40112,2020,August,primary election
150,777,239,2020,August,primary election
138,617,136,2020,August,primary election
194,699,207,2020,August,primary election
204,554,168,2020,August,primary election
165,279,111,2020,August,primary election
210,670,296,2020,August,primary election
226,485,204,2020,August,primary election
243,451,144,2020,August,primary election
162,545,211,2020,August,primary election
169,318,127,2020,August,primary election
167,383,129,2020,August,primary election
116,528,185,2020,August,primary election
281,467,127,2020,August,primary election
78,29858,16608,2020,August,primary election
279,757,131,2020,August,primary election
68,1360706,689425,2020,August,primary election
250,753,163,2020,August,primary election
145,742,149,2020,August,primary election
130,787,212,2020,August,primary election
257,850,201,2020,August,primary election
283,792,147,2020,August,primary election
197,623,259,2020,August,primary election
75,270546,137702,2020,August,primary election
163,468,135,2020,August,primary election
77,29858,16688,2020,August,primary election
266,774,150,2020,August,primary election
239,769,273,2020,August,primary election
160,461,169,2020,August,primary election
101,367,196,2020,August,primary election
241,442,103,2020,August,primary election
260,847,238,2020,August,primary election
141,841,264,2020,August,primary election
272,824,191,2020,August,primary election
123,790,234,2020,August,primary election
291,442,119,2020,August,primary election
118,363,55,2020,August,primary election
233,727,259,2020,August,primary election
289,700,242,2020,August,primary election
114,83313,42554,2020,August,primary election
196,597,237,2020,August,primary election
112,88642,41877,2020,August,primary election
213,744,64,2020,August,primary election
264,468,66,2020,August,primary election
290,544,151,2020,August,primary election
97,117293,65604,2020,August,primary election
190,718,167,2020,August,primary election
201,611,224,2020,August,primary election
96,117293,59200,2020,August,primary election
206,519,165,2020,August,primary election
252,732,142,2020,August,primary election
105,99209,41284,2020,August,primary election
63,1360706,717675,2020,August,primary election
121,868,154,2020,August,primary election
232,774,194,2020,August,primary election
94,104979,50741,2020,August,primary election
268,894,251,2020,August,primary election
255,709,176,2020,August,primary election
184,593,170,2020,August,primary election
242,742,207,2020,August,primary election
89,29451,14672,2020,August,primary election
140,652,119,2020,August,primary election
189,766,357,2020,August,primary election
100,367,195,2020,August,primary election
203,629,223,2020,August,primary election
183,870,209,2020,August,primary election
237,647,178,2020,August,primary election
71,1360706,717763,2020,August,primary election
282,672,113,2020,August,primary election
91,50679,26706,2020,August,primary election
90,50679,27073,2020,August,primary election
280,459,99,2020,August,primary election
181,332,120,2020,August,primary election
88,29451,14720,2020,August,primary election
254,411,120,2020,August,primary election
136,845,251,2020,August,primary election
92,77812,28358,2020,August,primary election
270,437,123,2020,August,primary election
263,807,150,2020,August,primary election
188,317,115,2020,August,primary election
244,556,137,2020,August,primary election
124,740,172,2020,August,primary election
180,354,159,2020,August,primary election
103,99209,51495,2020,August,primary election
224,546,137,2020,August,primary election
155,703,278,2020,August,primary election
146,570,95,2020,August,primary election
212,829,208,2020,August,primary election
267,762,182,2020,August,primary election
248,669,164,2020,August,primary election
143,761,193,2020,August,primary election
174,629,194,2020,August,primary election
139,931,266,2020,August,primary election
149,347,102,2020,August,primary election
104,99209,51782,2020,August,primary election
152,712,220,2020,August,primary election
202,553,211,2020,August,primary election
159,535,163,2020,August,primary election
106,111798,64411,2020,August,primary election
218,494,123,2020,August,primary election
76,409139,190231,2020,August,primary election
229,423,113,2020,August,primary election
128,594,148,2020,August,primary election
223,498,170,2020,August,primary election
236,805,180,2020,August,primary election
107,111798,63110,2020,August,primary election
179,821,245,2020,August,primary election
98,99587,52637,2020,August,primary election
286,917,217,2020,August,primary election
195,598,189,2020,August,primary election
269,757,197,2020,August,primary election
262,728,162,2020,August,primary election
108,97882,54112,2020,August,primary election
117,873,94,2020,August,primary election
122,838,245,2020,August,primary election
221,732,244,2020,August,primary election
178,608,180,2020,August,primary election
187,413,124,2020,August,primary election
238,563,171,2020,August,primary election
217,332,97,2020,August,primary election
209,353,149,2020,August,primary election
193,824,299,2020,August,primary election
246,488,123,2020,August,primary election
168,439,153,2020,August,primary election
186,424,142,2020,August,primary election
288,735,246,2020,August,primary election
185,308,99,2020,August,primary election
157,760,292,2020,August,primary election
256,742,289,2020,August,primary election
234,582,131,2020,August,primary election
13,1346414,615862,2020,March,presidential primary
14,1346414,103865,2020,March,presidential primary
4,18600,7097,2020,February,special election
9,28401,12098,2020,February,special election
10,9183,2088,2020,February,special election
11,9183,2089,2020,February,special election
12,9124,4203,2020,February,special election
7,14997,5965,2020,February,special election
13,40981,10508,2020,February,special election
5,70902,25081,2020,February,special election
1,76862,24654,2020,February,special election
3,44751,12075,2020,February,special election
2,44751,12056,2020,February,special election
8,28401,12094,2020,February,special election
6,96076,26810,2020,February,special election
517,74322,19351,2019,November,general election
705,55652,25287,2019,November,general election
380,16903,6885,2019,November,general election
527,9083,5097,2019,November,general election
649,76368,20280,2019,November,general election
576,15764,4384,2019,November,general election
461,3412,1168,2019,November,general election
372,78684,32116,2019,November,general election
524,72747,26172,2019,November,general election
698,48974,18799,2019,November,general election
439,18213,9616,2019,November,general election
423,55283,20696,2019,November,general election
465,31240,13105,2019,November,general election
487,38359,16799,2019,November,general election
633,38139,11875,2019,November,general election
618,8362,1911,2019,November,general election
450,5027,2719,2019,November,general election
411,22519,9050,2019,November,general election
625,17219,5686,2019,November,general election
681,1330308,567538,2019,November,general election
355,1330308,542957,2019,November,general election
536,76564,21927,2019,November,general election
384,28387,11873,2019,November,general election
680,1330308,630503,2019,November,general election
620,19772,5052,2019,November,general election
490,8100,3780,2019,November,general election
498,7921,2480,2019,November,general election
427,10167,5360,2019,November,general election
673,12304,3457,2019,November,general election
559,48469,20552,2019,November,general election
586,13289,3558,2019,November,general election
444,979,309,2019,November,general election
456,4864,1511,2019,November,general election
373,78684,32044,2019,November,general election
648,76368,25679,2019,November,general election
700,38359,18764,2019,November,general election
556,70535,27223,2019,November,general election
699,2198,1257,2019,November,general election
436,2198,1177,2019,November,general election
611,39964,10790,2019,November,general election
358,139061,55214,2019,November,general election
475,37405,18563,2019,November,general election
396,12607,3444,2019,November,general election
499,7921,3316,2019,November,general election
706,9083,6085,2019,November,general election
631,23651,6212,2019,November,general election
547,44586,13909,2019,November,general election
662,9083,4892,2019,November,general election
421,64682,21533,2019,November,general election
667,18055,4990,2019,November,general election
401,4836,1580,2019,November,general election
634,38139,11755,2019,November,general election
564,115951,44261,2019,November,general election
692,1330308,565216,2019,November,general election
585,13289,4607,2019,November,general election
583,3869,1696,2019,November,general election
565,95939,25424,2019,November,general election
596,354,154,2019,November,general election
534,354,156,2019,November,general election
594,9195,3569,2019,November,general election
385,1387,657,2019,November,general election
691,1330308,563461,2019,November,general election
552,27344,10847,2019,November,general election
601,38359,12100,2019,November,general election
640,19484,4820,2019,November,general election
457,4864,1486,2019,November,general election
386,1387,678,2019,November,general election
587,14964,4586,2019,November,general election
584,13289,3582,2019,November,general election
676,9083,3379,2019,November,general election
403,7866,2876,2019,November,general election
417,15053,6446,2019,November,general election
656,29649,8571,2019,November,general election
553,27344,10909,2019,November,general election
468,55452,20615,2019,November,general election
595,354,151,2019,November,general election
519,18395,5099,2019,November,general election
440,18213,9601,2019,November,general election
469,55452,18856,2019,November,general election
655,29649,10647,2019,November,general election
497,7921,2338,2019,November,general election
657,29649,8740,2019,November,general election
374,78684,32620,2019,November,general election
593,28385,7992,2019,November,general election
614,444,117,2019,November,general election
608,37319,10068,2019,November,general election
654,184526,53620,2019,November,general election
414,15053,6475,2019,November,general election
405,7866,2205,2019,November,general election
501,259,128,2019,November,general election
674,10007,2406,2019,November,general election
636,68,28,2019,November,general election
482,74921,42956,2019,November,general election
571,55695,16595,2019,November,general election
557,70535,20953,2019,November,general election
600,38359,15667,2019,November,general election
626,31379,11627,2019,November,general election
474,37405,18239,2019,November,general election
568,3126,771,2019,November,general election
665,9083,3183,2019,November,general election
523,18213,9045,2019,November,general election
481,59389,27086,2019,November,general election
443,979,420,2019,November,general election
454,4864,1424,2019,November,general election
675,10007,2418,2019,November,general election
408,48974,17199,2019,November,general election
462,3412,1113,2019,November,general election
632,38139,12062,2019,November,general election
393,12607,4575,2019,November,general election
609,37319,10033,2019,November,general election
543,14877,4578,2019,November,general election
615,10698,2919,2019,November,general election
369,35785,11540,2019,November,general election
598,13260,3425,2019,November,general election
650,174939,57207,2019,November,general election
464,31240,13293,2019,November,general election
397,18055,7133,2019,November,general election
458,4864,2117,2019,November,general election
425,55283,21049,2019,November,general election
477,13830,5272,2019,November,general election
526,72747,27174,2019,November,general election
701,70633,27290,2019,November,general election
529,9083,3739,2019,November,general election
605,25304,9904,2019,November,general election
484,64094,32234,2019,November,general election
508,874,294,2019,November,general election
659,9083,4281,2019,November,general election
622,2305,1031,2019,November,general election
493,10007,2637,2019,November,general election
563,115951,34064,2019,November,general election
